course_id,course_name,type,credits
CFOC188M,Ethical Hacking,theory,3.0
CFOC189M,Organic Farming for Sustainable Agricultural Production,theory,2.0
CFOC190M,Positive Psychology,theory,2.0
CFOC191M,Forests and their Management,theory,3.0
CFOC192M,Forest Biometry,theory,2.0
CFOC193M,Bioengineering: An Interface with Biology and Medicine,theory,2.0
CFOC194M,Human Molecular Genetics,theory,1.0
CFOC195M,Bioenergetics of Life Processes,theory,1.0
CFOC196M,Computational Systems Biology,theory,3.0
CFOC197M,Bio-Informatics: Algorithms and Applications,theory,3.0
CFOC198M,Biostatistics and Design of Experiments,theory,2.0
CFOC199M,Medical Biomaterials,theory,2.0
CFOC200M,Demystifying the Brain,theory,1.0
CFOC201M,Principles and Applications of NMR Spectroscopy,theory,2.0
CFOC202M,Cell Culture Technologies,theory,2.0
CFOC203M,Natural Hazards,theory,2.0
CFOC204M,Modern Construction Materials,theory,3.0
CFOC205M,"Energy Efficiency, Acoustics and Daylighting in Building",theory,3.0
CFOC206M,"Fire Protection, Services and Maintenance Management of Building",theory,3.0
CFOC207M,Electronic Waste Management - Issues And Challenges,theory,1.0
CFOC208M,Higher Surveying,theory,3.0
CFOC209M,Environmental Remediation of Contaminated Sites,theory,3.0
CFOC210M,Soil Structure Interaction,theory,3.0
CFOC211M,Introduction to Accounting and Finance for Civil Engineers,theory,2.0
CFOC212M,Scheduling Techniques in,theory,1.0
CFOC213M,GPS Surveying,theory,1.0
CFOC214M,Sustainable Materials and Green Buildings,theory,3.0
CFOC215M,Geomorphic Processes: Landforms and Landscapes,theory,2.0
CFOC216M,Introduction To Process Modeling in the Membrane Separation Process,theory,1.0
CFOC217M,Computational Geometry,theory,3.0
CFOC218M,Compiler Design,theory,3.0
CFOC219M,Embedded System Design with ARM,theory,2.0
CFOC220M,VLSI Physical Design,theory,3.0
CFOC221M,Cloud computing,theory,2.0
CFOC222M,Artificial Intelligence : Knowledge Representation And Reasoning,theory,3.0
CFOC223M,Privacy and Security in Online Social Media,theory,2.0
CFOC224M,Information Security - 5 - Secure Systems Engineering,theory,2.0
CFOC225M,Model Checking,theory,3.0
CFOC226M,Randomized Algorithms,theory,3.0
CFOC227M,GPU Architectures and Programming,theory,3.0
CFOC228M,Multi-Core Computer Architecture - Storage and Interconnects,theory,2.0
CFOC229M,Data Analytics with Python,theory,3.0
CFOC230M,Arithmetic Circuit Complexity,theory,3.0
CFOC231M,Google Cloud Computing Foundation Course,theory,2.0
CFOC232M,Consumer Behaviour,theory,2.0
CFOC233M,Enhancing,theory,2.0
CFOC234M,Introduction to Airplane Performance,theory,2.0
CFOC235M,Rocket Propulsion,theory,3.0
CFOC236M,Aircraft Maintenance,theory,1.0
CFOC237M,Sustainable Architecture,theory,3.0
CFOC238M,Introduction to History of Architecture in India,theory,1.0
CFOC239M,"Structure, Form, and Architecture : The Synergy",theory,2.0
CFOC240M,Interactomics : Basics and Applications,theory,3.0
CFOC241M,Introduction to Professional Scientific Communication,theory,1.0
CFOC242M,Material and Energy Balances,theory,3.0
CFOC243M,Thermodynamics for Biological Systems: Classical and Statistical Aspect,theory,3.0
CFOC244M,Optical Spectroscopy and Microscopy : Fundamentals of Optical Measurements and Instrumentation,theory,3.0
CFOC245M,Fundamentals of Semiconductor Devices,theory,3.0
CFOC246M,Characterization of Construction Materials,theory,3.0
CFOC247M,Introduction to Civil Engineering Profession,theory,2.0
CFOC248M,Environmental Geomechanics,theory,3.0
CFOC249M,Mechanical Characterization of Bituminous Materials,theory,3.0
CFOC250M,Geosynthetics and Reinforced Soil Structures,theory,3.0
CFOC251M,Geotechnical Engineering II Foundation Engineering,theory,3.0
CFOC252M,Landscape Architecture and Site Planning - Basic Fundamentals,theory,2.0
CFOC253M,Plastic Waste Management,theory,2.0
CFOC254M,Advanced Topics in the Science and Technology of Concrete,theory,1.0
CFOC255M,Applied Environmental Microbiology,theory,3.0
CFOC256M,Digital Land Surveying And Mapping (DLS&M),theory,2.0
CFOC257M,Earthquake Geology: A tool for Seismic Hazard Assessment,theory,3.0
CFOC258M,Introduction to Geographic Information Systems,theory,1.0
CFOC259M,Structural Dynamics,theory,4.0
CFOC260M,Water Supply Engineering,theory,3.0
CFOC261M,Geo Spatial Analysis in Urban Planning,theory,1.0
CFOC262M,Geotechnical Engineering - 1,theory,3.0
CFOC263M,Maintenance and Repair of Concrete Structures,theory,3.0
CFOC264M,Thermodynamics,theory,3.0
CFOC265M,Geomorphology,theory,3.0
CFOC266M,Remote Sensing Essentials,theory,3.0
CFOC267M,Hydraulic Engineering,theory,3.0
CFOC268M,Environmental Quality Monitoring and Analysis,theory,3.0
CFOC269M,Electrochemical Technology in Pollution Control,theory,2.0
CFOC270M,Advanced Thermodynamics,theory,3.0
CFOC271M,Membrane Technology,theory,3.0
CFOC272M,Computational Fluid Dynamics,theory,3.0
CFOC273M,Transport phenomena,theory,3.0
CFOC274M,Optimization in Chemical Engineering,theory,3.0
CFOC275M,Soft Nano Technology,theory,2.0
CFOC276M,Transport processes I - Heat and Mass Transfer,theory,3.0
CFOC277M,"Process Control - Design, Analysis and Assessment",theory,3.0
CFOC278M,Heat Transfer,theory,3.0
CFOC279M,Chemical Reaction Engineering II,theory,3.0
CFOC280M,Multiphase Flows,theory,2.0
CFOC281M,Mass Transfer Operations - I,theory,3.0
CFOC282M,Waste to Energy Conversion,theory,2.0
CFOC283M,Equipment Design : Mechanical Aspects,theory,1.0
CFOC284M,An Introduction to Cardiovascular Fluid Mechanics,theory,1.0
CFOC285M,Computer Aided Applied Single Objective Optimization,theory,2.0
CFOC286M,Basic Principles and Calculations in Chemical Engineering,theory,3.0
CFOC287M,Introduction to Blockchain Technology and Applications,theory,2.0
CFOC288M,Foundations of Cryptography,theory,3.0
CFOC289M,Introduction to Database Systems,theory,3.0
CFOC290M,Operating System,theory,3.0
CFOC291M,Programming in C++,theory,2.0
CFOC292M,Programming in Java,theory,3.0
CFOC293M,Data Base Management System,theory,2.0
CFOC294M,Introduction to Algorithms and Analysis,theory,3.0
CFOC295M,Data Mining,theory,2.0
CFOC296M,Embedded Systems Design,theory,3.0
CFOC297M,Real Time Operating System,theory,1.0
CFOC298M,Introduction to Soft Computing,theory,2.0
CFOC299M,Cryptography and Network Security,theory,3.0
CFOC300M,Introduction to Internet of Things,theory,3.0
CFOC301M,Computer Networks and Internet Protocol,theory,3.0
CFOC302M,Introduction to Industry 4.0 and Industrial Internet of Things,theory,3.0
CFOC303M,Computer Architecture,theory,3.0
CFOC304M,"Programming, Data Structures And Algorithms Using Python",theory,2.0
CFOC305M,Introduction to Machine Learning,theory,3.0
CFOC306M,Social Networks,theory,3.0
CFOC307M,Foundations to Computer Systems Design,theory,3.0
CFOC308M,The Joy of Computing using Python,theory,3.0
CFOC309M,Discrete Mathematics,theory,3.0
CFOC310M,An Introduction to Artificial Intelligence,theory,3.0
CFOC311M,User-centric Computing for Human-Computer Interaction,theory,3.0
CFOC312M,Cloud Computing and Distributed Systems,theory,2.0
CFOC313M,Machine Learning,theory,2.0
CFOC314M,Modern Application Development,theory,3.0
CFOC315M,An Introduction To Programming Through C++,theory,3.0
CFOC316M,Design and Pedagogy of the Introductory Programming Course,theory,1.0
CFOC317M,Quantitative Methods in Chemistry,theory,3.0
CFOC318M,Basics in Inorganic Chemistry,theory,1.0
CFOC319M,Ultrafast Laser Spectroscopy,theory,3.0
CFOC320M,Transition Metal Organometallics in Catalysis and Biology,theory,3.0
CFOC321M,Essentials of Biomolecules : Nucleic Acids and Peptides,theory,3.0
CFOC322M,Fundamentals of Spectroscopy,theory,3.0
CFOC323M,Advanced Chemical Thermodynamics and Kinetics,theory,3.0
CFOC324M,Biochemistry,theory,3.0
CFOC325M,Organometallic Chemistry,theory,1.0
CFOC326M,Chemical Applications of Symmetry and Group Theory,theory,2.0
